
Zo&#x00F6;l.,Zo&#x00F6;logy
B. Jon.,Ben Jonson
Bisc.,Biscayan
Biol.,Biology
Bibliog.,Bibliography
Bib. Sacra;Bibliotheca Sacra
Bib.,Biblical
B. &#x26; Fl.,Beaumont &#x26; Fletcher
Beau. &#x26; Fl.,Beaumont &#x26; Fletcher
Bank.,Banking
aug.,augmentative
Astron.,Astronomy
Astrol.,Astrology
AS.,Anglo-Saxon
Armor.,Armorican
Arm.,Armorican
Arith.,Arithmetic
Arch. Pub. Soc.,Architectural Pub. Society
Arch.,Architecture
Ar.,Arabic
aor.,aorist
Antiq.,Aniquities
Angl. Ch.,Anglican Church
Anc.,Ancient
Anat.,Anatomy
Anal. Geom.,Analytical Geometry
Am. Cyc.,Appleton's American Cyclopedia
Am.,Amos
Amer.,America
Alg.,Algebra
Alban.,Albanian
Agric.,Agriculture
adv.,adverb
act.,active
Acous.,Acoustics
acc.,accusative
Abp.,Archbishop
abl.,ablative
abbrev.,abbreviated
adj.,adjective
a.,adjective

